SRP356530/LEAVES_D-LEAVES_C	SRP098756/CROWN_D-CROWN_C	SRP098756/LEAVES_D-LEAVES_C	SRP098756/ROOTS_D-ROOTS_C	SRP072216/LEAVES_D-LEAVES_C	SRP072216/LEAVES_D-LEAVES_TABA
TraesCS1A02G066200	-1.24898736065134					
TraesCS1A02G066300					-0.475674849728962	
TraesCS1A02G066400	1.56504611841405					-0.320588123355174
TraesCS1A02G066700	-2.07441137086754					
TraesCS1A02G066800	-1.6811759830846					
TraesCS1A02G066900	0.855661038258507					
TraesCS1A02G068000	0.41233299353448					
TraesCS1A02G068100	1.87680347736266					
TraesCS1A02G069600	-1.26993161976127					0.586978687062802
TraesCS1A02G069900	1.10106426647204					-0.381506352837397
TraesCS1A02G070100					0.428390965928511	
TraesCS1A02G070400	-1.49759115164281					
TraesCS1A02G070600	-1.32113855584399					
TraesCS1A02G071100					0.49203534800331	
TraesCS1A02G071400					-0.520022538599742	
TraesCS1A02G071500	-0.550543046841828					
TraesCS1A02G071800	0.429435779144921					
TraesCS1A02G072000	0.432208577018135					-0.228009054308373
TraesCS1A02G072600	-0.591886792107189				-0.216760751056803	
TraesCS1A02G073000	0.666294994301688					
TraesCS1A02G073300	-0.60646302922504					
TraesCS1A02G074800					0.435278421733817	
TraesCS1A02G075100						0.457921605121294
TraesCS1A02G075700	0.369775461378859					
TraesCS1A02G075800	-0.931294600526457					
TraesCS1A02G076100					-0.66635523063817	
TraesCS1A02G076700	-5.13640063365241					2.84945404924173
TraesCS1A02G076900	-1.2661288538166	-1.66817801733485	-1.69920319717539		0.489247908078967	0.900912294146105
TraesCS1A02G077200	-0.391656587747707					
TraesCS1A02G077500	-0.383490171668799				0.304409767936411	0.582455556634668
TraesCS1A02G077600	-0.473479055324746					
TraesCS1A02G077700	0.713100041540205				-0.639378843294354	-0.77599968469116
TraesCS1A02G078700	0.557728091089758					-0.209925286696522
TraesCS1A02G079800						0.766172694983123
TraesCS1A02G080600					-0.214814836394301	
TraesCS1A02G080700	-0.901427069421499					0.446882328377606
TraesCS1A02G081200	-1.04361361812578					0.792848085052201
TraesCS1A02G081300	-0.529684239728839					
TraesCS1A02G081400	0.401927695777264					0.226769612698307
TraesCS1A02G082000	-0.331326498119131					
TraesCS1A02G082600				0.887227215381637		
TraesCS1A02G083000	-1.88333285677295				1.13365414944004	1.08819707708177
TraesCS1A02G083300					1.17408495310473	0.841452902705391
TraesCS1A02G083500	-0.44061292200308				0.335305053299932	0.350003193559599
TraesCS1A02G084200	0.291345538889545					
TraesCS1A02G084300	1.2937264836311					
TraesCS1A02G084900						1.26763155640021
TraesCS1A02G085400	-0.686532706104843	1.67575235487532				0.834611238888757
TraesCS1A02G085500	1.17818900453879					-0.518025283439803
TraesCS1A02G085600					-0.296761822006017	-0.282218075935414
TraesCS1A02G086100	0.535763027672359				-0.937263516297809	
TraesCS1A02G086200	1.11613545215105					-0.569193427969196
TraesCS1A02G086800						0.292582383665428
TraesCS1A02G086900					-0.423596389851921	
TraesCS1A02G087100	-0.668155646488668					
TraesCS1A02G087500					-2.68047844581383	-1.86682485023811
TraesCS1A02G087900						0.302590420247933
TraesCS1A02G088000	-0.332960057502144					0.265594417071736
TraesCS1A02G088100						0.297602405676436
TraesCS1A02G088300					-3.15608647682882	
TraesCS1A02G088600	1.93117035646919					
TraesCS1A02G088900						0.235491327101466
TraesCS1A02G089300	-0.691067269807682					
TraesCS1A02G089400					0.509075824420651	
TraesCS1A02G089500	-0.936714113329091					1.05778102867072
TraesCS1A02G089600	-0.46614505961684					
TraesCS1A02G089800	0.333232650470039					
TraesCS1A02G090000					-0.231248349075134	
TraesCS1A02G090300						0.508419693179329
TraesCS1A02G090600	0.552567909931354					
TraesCS1A02G091300	-0.942908273634529					
TraesCS1A02G091600	1.68603212563339					
TraesCS1A02G093000		4.25271821776292		4.96397758231873		2.88692069601562
TraesCS1A02G093300	-2.92323553744267			-2.30618683528351		
TraesCS1A02G095000					-0.2250531601175	
TraesCS1A02G095800	-0.985708932438507				-1.07592132185807	
TraesCS1A02G096200	-0.531596438240301					
TraesCS1A02G096600	0.624871424600949				0.588281725452459	
TraesCS1A02G097000	1.28195962063077					
TraesCS1A02G097100					-1.08871171540292	
TraesCS1A02G097300					-0.683087503858611	-0.856298250011235
